# Bank<TAB>Address<TAB>Name<TAB>CallingConvention<TAB>Inputs<TAB>Outputs<TAB>Clobbers<TAB>SideEffects<TAB>Evidence
12	8EAD	InitializeChapterSaveState	Bank $12 service entry; RTS to caller	SaveCurrentChapterMinus1 selects chapter records	Save party and chapter-dependent state initialized	A,X,Y,flags,$02-$07,$79-$7A	Clears SaveWorkArea $610E-$6156 and writes persistent party/state fields	Direct stores and bounded loops at $8EAD-$90A8
1F	C118	WriteMmc1Control	JSR; returns with RTS	A contains five-bit MMC1 control value	MMC1 control register committed	A,flags,$0500	Five serial writes through $9FFF	Five-write shift sequence at $C118
1F	C12F	WriteMmc1ChrBank0	JSR; returns with RTS	A contains five-bit CHR-bank-0 value	MMC1 CHR bank 0 register committed	A,flags,$0501	Five serial writes through $BFFF	Five-write shift sequence at $C12F
1F	C146	WriteMmc1ChrBank1	JSR; returns with RTS	A contains five-bit CHR-bank-1 value	MMC1 CHR bank 1 register committed	A,flags	Five serial writes through $DFFF	Five-write shift sequence at $C146
1F	C15A	NmiHandler	NMI entry; returns with RTI	PPU/APU frame state and installed callback	Frame services completed	A,X,Y,flags,NMI scratch state	Updates PPU/APU state and dispatches installed callback	CPU NMI trampoline and runtime trace
1F	C408	IrqHandler	IRQ/BRK entry; returns through interrupt dispatcher	Stacked status/return address and inline service bytes	Selected service invoked; return address advanced	A,X,Y,flags,stack,dispatch scratch	Dispatches fixed-bank BRK services and consumes operands	CPU IRQ vector and decoded BRK dispatcher
1F	C543	InitializeOamShadow	JSR; returns with RTS	None	OAM shadow filled with $F7	A,X,flags	Writes 256 bytes at $0200-$02FF	256-iteration store loop at $C543
1F	C575	ClearNametables	JSR; returns with RTS	PPU address/control prepared by caller	Eight 256-byte PPU data blocks cleared	A,X,Y,flags	Writes PPUDATA and reads PPUSTATUS	Nested clear loops at $C575
1F	C813	AddByteToPointer	JSR; returns with RTS	A is unsigned addend; X selects a zero-page little-endian pointer	Pointer [X+1:X] increased by A	A,flags	Writes two pointer bytes at [X] and [X+1]	Carry-propagating add at $C813-$C81C
1F	C81D	AddWordToPointer	JSR; returns with RTS	Y:A is unsigned 16-bit addend; X selects a zero-page pointer	Pointer [X+1:X] increased by Y:A	A,flags	Writes two pointer bytes at [X] and [X+1]	Calls AddByteToPointer then adds Y to high byte
1F	C827	MultiplyPointerWord	JSR; returns with RTS	A is multiplier; X selects a zero-page little-endian word	Word [X+1:X] replaced by its 16-bit product with A	A,flags,$16-$18	Shifts and overwrites the selected zero-page word	Shift-add multiply loop at $C827-$C850
1F	E771	ReadAudioSequenceByte	JSR; returns with RTS	X selects audio channel sequence state	A is next sequence byte; channel pointer advanced	A,Y,flags,audio pointer state	Reads banked audio sequence data	Indexed indirect read and pointer increment at $E771
1F	F08A	ResetApuChannels	JSR; returns with RTS	None	APU channels enabled in reset state	A,X,flags	Writes APU status and pulse sweep registers	Direct APU register writes at $F08A
1F	FF74	WaitForNmi	JSR; returns with RTS	NMI counter at $050C is active	Returns after counter changes	A,flags,$12	Waits on NMI-updated state and calls frame helper	Polling loop at $FF74-$FF85
1F	FF91	SelectPrgBank	JSR/fixed service; returns with RTS	A is physical PRG bank $00-$1F	MMC1 PRG and outer bank bits selected	A,flags,$0501,$0507	Five serial writes through $FFFF and CHR-bank-0 outer-bit write through $BFFF	SUROM bank-selection sequence at $FF91
1F	FFD8	Reset	CPU RESET vector target; jumps to reset body	CPU reset state	Control transferred to ResetMain	A,flags	Resets MMC1 shift register	Vector target and reset stub at $FFD8
